"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1133821878479589384","https://twitter.com/gerardtieng/status/1133821878479589384","@MartinMSmith1 @KLander_15 Dreamy.","2019-05-29 19:46 +0000","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133812813565181952","https://twitter.com/gerardtieng/status/1133812813565181952","‘Sup, nerds?","2019-05-29 19:10 +0000","160.0","1.0","0.00625","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133812256070885376","https://twitter.com/gerardtieng/status/1133812256070885376","@oldfilmsflicker You do good work.","2019-05-29 19:08 +0000","19.0","1.0","0.05263157894736842","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133806869124919296","https://twitter.com/gerardtieng/status/1133806869124919296","FINALLY THE VEIL HAS BEEN LIFTED https://t.co/LtrEBv0EHf","2019-05-29 18:46 +0000","166.0","12.0","0.07228915662650602","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133806397349478400","https://twitter.com/gerardtieng/status/1133806397349478400","They should make Pokemon Needs to Be the Center of All Attention™ so I can play 24/7. https://t.co/E54Y8jemji","2019-05-29 18:44 +0000","239.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133798086491475969","https://twitter.com/gerardtieng/status/1133798086491475969","@PatrickCH Post the worst tweet in your drafts folder right MEOW.","2019-05-29 18:11 +0000","16.0","2.0","0.125","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133787075017416705","https://twitter.com/gerardtieng/status/1133787075017416705","There should be a 24/7 title belt for bad tweets and I would definitely win that.","2019-05-29 17:27 +0000","269.0","2.0","0.007434944237918215","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133782871280422917","https://twitter.com/gerardtieng/status/1133782871280422917","@marlonjayy I’m laughing way harder than I should be at this.","2019-05-29 17:11 +0000","1030.0","7.0","0.006796116504854369","0.0","0.0","2.0","2.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133581286914842624","https://twitter.com/gerardtieng/status/1133581286914842624","@RudyRudyrock22 Just a floating shirt and hat for me. 🤷‍♂️🤷‍♂️","2019-05-29 03:50 +0000","45.0","1.0","0.022222222222222223","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133574897295384576","https://twitter.com/gerardtieng/status/1133574897295384576","No one:

*Absolutely no one*

My dog: https://t.co/h0TwcQYKmI","2019-05-29 03:24 +0000","272.0","27.0","0.09926470588235294","0.0","0.0","5.0","0.0","0.0","0.0","8.0","0.0","0","0","0","0","0","14","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133570496421875718","https://twitter.com/gerardtieng/status/1133570496421875718","https://t.co/sEtK4Cwmmv https://t.co/CnjLrh8O0S","2019-05-29 03:07 +0000","283.0","5.0","0.0176678445229682","0.0","0.0","0.0","1.0","2.0","0.0","1.0","0.0","0","0","0","0","0","27","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133565820192395265","https://twitter.com/gerardtieng/status/1133565820192395265","Literally five Follow ads between seven tweets. What’s that about?","2019-05-29 02:48 +0000","235.0","1.0","0.00425531914893617","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133561666745118720","https://twitter.com/gerardtieng/status/1133561666745118720","@THEKyleMoffatt You got time my dude. https://t.co/5l7XYQLSsK","2019-05-29 02:32 +0000","171.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133559653177188352","https://twitter.com/gerardtieng/status/1133559653177188352","@THEKyleMoffatt I ate a burger. https://t.co/HoFzIzRyX2","2019-05-29 02:24 +0000","165.0","4.0","0.024242424242424242","0.0","1.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","3","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133502743778398208","https://twitter.com/gerardtieng/status/1133502743778398208","Bro...how could you leave out Phreak? https://t.co/XxmyxLKpIM","2019-05-28 22:38 +0000","2621.0","5.0","0.0019076688286913392","0.0","1.0","1.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133477659038670849","https://twitter.com/gerardtieng/status/1133477659038670849","I can't get on this yogurt train, guys.

Move along.","2019-05-28 20:58 +0000","217.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133466073557295106","https://twitter.com/gerardtieng/status/1133466073557295106","@GavinBigLo https://t.co/P6NNHmarlv","2019-05-28 20:12 +0000","84.0","6.0","0.07142857142857142","0.0","1.0","0.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","6","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133429409246056449","https://twitter.com/gerardtieng/status/1133429409246056449","I’m just immature enough to be on Twitter. https://t.co/bje1OyeTBM","2019-05-28 17:46 +0000","280.0","1.0","0.0035714285714285713","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133425401341120515","https://twitter.com/gerardtieng/status/1133425401341120515","What the first guy who mixed all the sodas at the convenience store must have sounded like: https://t.co/6rzkbYeY0S","2019-05-28 17:30 +0000","270.0","7.0","0.025925925925925925","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","47","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133184042935959552","https://twitter.com/gerardtieng/status/1133184042935959552","Full on disappointed that no one in Georgia has yet to tell me to kiss their grits. 

Instead they just key your car.","2019-05-28 01:31 +0000","224.0","2.0","0.008928571428571428","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133134231109033985","https://twitter.com/gerardtieng/status/1133134231109033985","@garywhitta This is madness.","2019-05-27 22:13 +0000","102.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133130282532524032","https://twitter.com/gerardtieng/status/1133130282532524032","@fullbright Nice","2019-05-27 21:58 +0000","266.0","2.0","0.007518796992481203","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133129096643399682","https://twitter.com/gerardtieng/status/1133129096643399682","@YuckyTom Brian C was the WORST","2019-05-27 21:53 +0000","202.0","2.0","0.009900990099009901","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133117592250535937","https://twitter.com/gerardtieng/status/1133117592250535937","@oldfilmsflicker @biscuitkitten @GuyFieri Where’d they plop his star?","2019-05-27 21:07 +0000","58.0","1.0","0.017241379310344827","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133095280109342721","https://twitter.com/gerardtieng/status/1133095280109342721","Achievement Unlocked. https://t.co/D1HrGISWN2","2019-05-27 19:39 +0000","259.0","33.0","0.1274131274131274","0.0","1.0","3.0","0.0","1.0","0.0","3.0","0.0","0","0","0","0","0","25","25","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1133008410197319680","https://twitter.com/gerardtieng/status/1133008410197319680","Sometimes l wish my body was as wide as my head so I could achieve this level of relaxation. https://t.co/yuqkGMUUzM","2019-05-27 13:53 +0000","227.0","19.0","0.08370044052863436","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","16","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1132829351316250624","https://twitter.com/gerardtieng/status/1132829351316250624","@KikiCitten https://t.co/LRq3Lweuy6","2019-05-27 02:02 +0000","49.0","4.0","0.08163265306122448","0.0","1.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1132824578630258688","https://twitter.com/gerardtieng/status/1132824578630258688","@entrauge Encino Man or Lord of the Rings?","2019-05-27 01:43 +0000","46.0","4.0","0.08695652173913043","0.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1132823470100946944","https://twitter.com/gerardtieng/status/1132823470100946944","@punkpizzacat https://t.co/b6pRvnOi7t","2019-05-27 01:38 +0000","75.0","3.0","0.04","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","4","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1132771561860206592","https://twitter.com/gerardtieng/status/1132771561860206592","@Tannitalu @Target https://t.co/lvYLSXco3Z","2019-05-26 22:12 +0000","336.0","2.0","0.005952380952380952","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","9","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1132635894882754572","https://twitter.com/gerardtieng/status/1132635894882754572","@GriffinWB This show was insane.","2019-05-26 13:13 +0000","41.0","2.0","0.04878048780487805","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1132456201143377920","https://twitter.com/gerardtieng/status/1132456201143377920","@GoldieChan Lol literally my favorite GoldieGif™.","2019-05-26 01:19 +0000","129.0","1.0","0.007751937984496124","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1132452618947768322","https://twitter.com/gerardtieng/status/1132452618947768322","@GoldieChan https://t.co/KHDUQE1kFC","2019-05-26 01:05 +0000","191.0","2.0","0.010471204188481676","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","13","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
